Ciudad,Fecha_dia,PM10,PM25,NO2,O3,PM10_outlier,PM25_outlier,NO2_outlier,O3_outlier,Año,Mes,Día,Día_semana,Semana_año,Estacion,PM10_cumsum,PM25_cumsum,NO2_cumsum,O3_cumsum,PM10_roll7,PM25_roll7,NO2_roll7,O3_roll7,PM10_lag1,PM25_lag1,NO2_lag1,O3_lag1,PM10_diff,PM25_diff,NO2_diff,O3_diff
Badajoz,2022-01-11,,,9.4,6.1,False,False,False,False,2022,1,11,1,2,Invierno,,,9.4,6.1,,,9.4,6.1,,,,,,,,
Badajoz,2022-01-31,,,49.0,6.1,False,False,False,False,2022,1,31,0,5,Invierno,,,58.4,12.2,,,29.2,6.1,,,9.4,6.1,,,39.6,0.0
Badajoz,2022-02-22,,,29.5,6.1,False,False,False,False,2022,2,22,1,8,Invierno,,,87.9,18.299999999999997,,,29.3,6.1,,,49.0,6.1,,,-19.5,0.0
Badajoz,2022-05-14,,,10.0,33.05,False,False,False,False,2022,5,14,5,19,Primavera,,,97.9,51.349999999999994,,,24.475,12.837499999999999,,,29.5,6.1,,,-19.5,26.949999999999996
Badajoz,2022-06-07,,,9.366666666666667,60.0,False,False,False,False,2022,6,7,1,23,Verano,,,107.26666666666667,111.35,,,21.453333333333333,22.27,,,10.0,33.05,,,-0.6333333333333329,26.950000000000003
Badajoz,2022-07-07,,,8.733333333333333,89.0,False,False,False,False,2022,7,7,3,27,Verano,,,116.0,200.35,,,19.333333333333332,33.391666666666666,,,9.366666666666667,60.0,,,-0.6333333333333346,29.0
Badajoz,2022-07-17,,,8.1,74.5,False,False,False,False,2022,7,17,6,28,Verano,,,124.1,274.85,,,17.728571428571428,39.26428571428572,,,8.733333333333333,89.0,,,-0.6333333333333329,-14.5
Badajoz,2022-10-18,,,10.4,60.0,False,False,False,False,2022,10,18,1,42,Otoño,,,134.5,334.85,,,17.87142857142857,46.964285714285715,,,8.1,74.5,,,2.3000000000000007,-14.5
Badajoz,2022-11-09,,,12.7,40.0,False,False,False,False,2022,11,9,2,45,Otoño,,,147.2,374.85,,,12.685714285714285,51.80714285714286,,,10.4,60.0,,,2.299999999999999,-20.0
Badajoz,2023-02-16,,,15.0,45.5,False,False,False,False,2023,2,16,3,7,Invierno,,,162.2,420.35,,,10.614285714285714,57.435714285714276,,,12.7,40.0,,,2.3000000000000007,5.5
Badajoz,2023-02-18,,,13.0,51.0,False,False,False,False,2023,2,18,5,7,Invierno,,,175.2,471.35,,,11.042857142857143,60.0,,,15.0,45.5,,,-2.0,5.5
Badajoz,2023-03-06,,,11.0,45.333333333333336,False,False,False,False,2023,3,6,0,10,Primavera,,,186.2,516.6833333333333,,,11.276190476190477,57.90476190476191,,,13.0,51.0,,,-2.0,-5.666666666666664
Badajoz,2023-04-11,,,8.7,39.666666666666664,False,False,False,False,2023,4,11,1,15,Primavera,,,194.9,556.35,,,11.271428571428572,50.857142857142854,,,11.0,45.333333333333336,,,-2.3000000000000007,-5.666666666666671
Badajoz,2023-04-16,,,8.25,34.0,False,False,False,False,2023,4,16,6,15,Primavera,,,203.15,590.35,,,11.292857142857143,45.07142857142857,,,8.7,39.666666666666664,,,-0.4499999999999993,-5.666666666666664
Badajoz,2023-04-29,,,7.8,55.0,False,False,False,False,2023,4,29,5,17,Primavera,,,210.95,645.35,,,10.921428571428573,44.357142857142854,,,8.25,34.0,,,-0.4500000000000002,21.0
Badajoz,2023-06-20,,,8.04,76.0,False,False,False,False,2023,6,20,1,25,Verano,,,218.99,721.35,,,10.255714285714285,49.5,,,7.8,55.0,,,0.23999999999999932,21.0
Badajoz,2023-07-07,,,8.28,77.0,False,False,False,False,2023,7,7,4,27,Verano,,,227.26999999999998,798.35,,,9.295714285714284,54.0,,,8.04,76.0,,,0.2400000000000002,1.0
Badajoz,2023-07-15,,,8.52,60.0,False,False,False,False,2023,7,15,5,28,Verano,,,235.79,858.35,,,8.655714285714286,55.285714285714285,,,8.28,77.0,,,0.2400000000000002,-17.0
Badajoz,2023-07-21,,,8.76,58.0,False,False,False,False,2023,7,21,4,29,Verano,,,244.54999999999998,916.35,,,8.335714285714285,57.095238095238095,,,8.52,60.0,,,0.2400000000000002,-2.0
Badajoz,2023-07-31,,,9.0,65.0,False,False,False,False,2023,7,31,0,31,Verano,,,253.54999999999998,981.35,,,8.378571428571428,60.714285714285715,,,8.76,58.0,,,0.2400000000000002,7.0
Badajoz,2023-08-16,,,9.0,72.0,False,False,False,False,2023,8,16,2,33,Verano,,,262.55,1053.35,,,8.485714285714284,66.14285714285714,,,9.0,65.0,,,0.0,7.0
Badajoz,2024-01-15,,,9.0,38.7,False,False,False,False,2024,1,15,0,3,Invierno,,,271.55,1092.05,,,8.657142857142857,63.81428571428571,,,9.0,72.0,,,0.0,-33.3
Badajoz,2024-02-19,,,9.125,5.4,False,False,False,False,2024,2,19,0,8,Invierno,,,280.675,1097.45,,,8.812142857142858,53.728571428571435,,,9.0,38.7,,,0.125,-33.300000000000004
Badajoz,2024-03-05,,,9.375,32.0,False,False,False,False,2024,3,5,1,10,Primavera,,,290.05,1129.45,,,8.968571428571428,47.300000000000004,,,9.125,5.4,,,0.25,26.6
