Ciudad,Fecha_dia,PM10,PM25,NO2,O3,PM10_outlier,PM25_outlier,NO2_outlier,O3_outlier
Badajoz,2022-01-11,,,9.4,6.1,False,False,False,False
Badajoz,2022-01-31,,,49.0,6.1,False,False,False,False
Badajoz,2022-02-22,,,29.5,6.1,False,False,False,False
Badajoz,2022-05-14,,,10.0,33.05,False,False,False,False
Badajoz,2022-06-07,,,9.366666666666667,60.0,False,False,False,False
Badajoz,2022-07-07,,,8.733333333333333,89.0,False,False,False,False
Badajoz,2022-07-17,,,8.1,79.33333333333333,False,False,False,False
Badajoz,2022-09-04,,,5.6,69.66666666666667,False,False,False,False
Badajoz,2022-10-18,,,7.949999999999999,60.0,False,False,False,False
Badajoz,2022-11-09,,,10.3,40.0,False,False,False,False
Badajoz,2022-12-16,,,12.65,52.0,False,False,False,False
Badajoz,2023-02-16,,,15.0,51.5,False,False,False,False
Badajoz,2023-02-18,,,13.0,51.0,False,False,False,False
Badajoz,2023-03-06,,,11.0,46.75,False,False,False,False
Badajoz,2023-03-10,,,27.0,42.5,False,False,False,False
Badajoz,2023-04-11,,,8.7,38.25,False,False,False,False
Badajoz,2023-04-16,,,8.25,34.0,False,False,False,False
Badajoz,2023-04-29,,,7.8,48.0,False,False,False,False
Badajoz,2023-06-05,,,7.95,62.0,False,False,False,False
Badajoz,2023-06-20,,,8.1,76.0,False,False,False,False
Badajoz,2023-06-24,,,8.25,43.0,False,False,False,False
Badajoz,2023-07-07,,,8.4,77.0,False,False,False,False
Badajoz,2023-07-09,,,8.55,65.0,False,False,False,False
Badajoz,2023-07-15,,,8.7,60.0,False,False,False,False
Badajoz,2023-07-21,,,8.85,58.0,False,False,False,False
Badajoz,2023-07-31,,,9.0,65.0,False,False,False,False
Badajoz,2023-08-16,,,9.0,72.0,False,False,False,False
Badajoz,2024-01-15,,,9.0,49.8,False,False,False,False
Badajoz,2024-01-20,,,27.0,27.6,False,False,False,False
Badajoz,2024-02-19,,,24.875,5.4,False,False,False,False
Badajoz,2024-03-04,,,22.75,18.700000000000003,False,False,False,False
Badajoz,2024-03-05,,,20.625,32.0,False,False,False,False
Badajoz,2024-03-06,,,18.5,15.0,False,False,False,False
Badajoz,2024-03-09,,,16.375,69.0,False,False,False,False
Badajoz,2024-03-25,,,14.25,74.0,False,False,False,False
Badajoz,2024-04-02,,,12.125,7.4,False,False,False,False
Badajoz,2024-05-07,,,10.0,7.4,False,False,False,False
Badajoz,2024-08-10,,,21.0,7.4,False,False,False,False
Badajoz,2024-09-10,,,5.4,7.4,False,False,False,False
Badajoz,2024-09-22,,,11.0,7.4,False,False,False,False
Badajoz,2024-09-28,,,5.5,7.4,False,False,False,False
Barcelona,2022-01-01,40.5,5.69,31.0,58.0,False,False,False,False
